station,aos,los,duration,angle
Svalbard,06/11/2024 18:44:26,06/11/2024 18:45:38,72,-10
Punta Arenas,06/11/2024 20:59:58,06/11/2024 21:02:29,151.289,20
Punta Arenas,06/11/2024 21:00:35,06/11/2024 21:01:54,79.348,10
Svalbard,06/12/2024 01:15:26,06/12/2024 01:15:31,5.591,-20
Svalbard,06/12/2024 02:53:35,06/12/2024 02:53:59,23.769,10
Svalbard,06/12/2024 02:54:01,06/12/2024 02:55:08,67.132,0
Svalbard,06/12/2024 04:32:53,06/12/2024 04:33:41,48.426,20
Troll,06/12/2024 07:08:36,06/12/2024 07:10:39,123.409,0
Troll,06/12/2024 07:08:39,06/12/2024 07:10:38,118.978,10
Troll,06/12/2024 07:08:42,06/12/2024 07:10:32,110.783,-10
Troll,06/12/2024 07:08:58,06/12/2024 07:10:15,76.551,-20
Troll,06/12/2024 08:46:11,06/12/2024 08:48:30,138.587,20
Punta Arenas,06/12/2024 10:32:15,06/12/2024 10:34:49,153.6,-20
Troll,06/12/2024 13:37:39,06/12/2024 13:39:33,114.206,20
Fairbanks,06/12/2024 14:23:15,06/12/2024 14:23:20,4.454,0
Fairbanks,06/12/2024 14:23:28,06/12/2024 14:24:55,87.15,-10
Troll,06/12/2024 15:15:05,06/12/2024 15:17:16,130.29,10
Troll,06/12/2024 15:15:16,06/12/2024 15:17:06,110.428,0
Troll,06/12/2024 15:15:33,06/12/2024 15:17:16,102.565,20
Troll,06/12/2024 15:15:38,06/12/2024 15:16:44,66.144,-10
Svalbard,06/12/2024 17:51:09,06/12/2024 17:52:29,80.291,10
Svalbard,06/12/2024 19:29:31,06/12/2024 19:29:50,18.287,-20
Punta Arenas,06/12/2024 21:45:19,06/12/2024 21:47:32,132.735,-20
Punta Arenas,06/12/2024 21:46:17,06/12/2024 21:47:29,71.66,-10
Svalbard,06/13/2024 02:00:49,06/13/2024 02:01:27,38.267,-10
Svalbard,06/13/2024 02:01:13,06/13/2024 02:02:00,46.672,-20
Svalbard,06/13/2024 03:38:51,06/13/2024 03:40:16,85.367,20
Svalbard,06/13/2024 03:39:40,06/13/2024 03:40:25,45.504,10
